Banco de México;;;;;;;;;
;;;;;;;;;
Índices de Precios al Consumidor y UDIS;;;;;;;;;
Inflación;;;;;;;;;
;;;;;;;;;
Fecha de consulta: 25/11/2019 09:13:35;;;;;;;;;
;;;;;;;;;
Aviso importante: Algunas de las series que está consultando registra un cambio; por favor consulte los metadatos de las mismas.;;;;;;;;
;;;;;;;;;
Título;Índice Nacional de Precios al consumidor, Variación mensual;Índice Nacional de Precios al consumidor, Variación acumulada;Índice Nacional de Precios al consumidor, variación anual;Inflación, Subyacente (nueva definición), Mensual;Inflación, Subyacente (nueva definición), Acumulada en el año;Inflación, Subyacente (nueva definición), Anual;Inflación, No subyacente (nueva definición), Mensual;Inflación, No subyacente (nueva definición), Acumulada en el año;Inflación, No subyacente (nueva definición), Anual
Tipo de información;Índices;Índices;Índices;Índices;Índices;Índices;Índices;Índices;Índices
Fecha;SP30577;SP30579;SP30578;SP74660;SP74661;SP74662;SP74663;SP74664;SP74665
01/01/2015;-0.09;-0.09;3.07;-0.03;-0.03;2.34;-0.27;-0.27;5.34
01/02/2015;0.19;0.1;3;0.34;0.31;2.4;-0.27;-0.53;4.88
01/03/2015;0.41;0.51;3.14;0.26;0.57;2.45;0.85;0.31;5.29
01/04/2015;-0.26;0.25;3.06;0.16;0.73;2.31;-1.51;-1.21;5.46
01/05/2015;-0.5;-0.26;2.88;0.12;0.84;2.33;-2.4;-3.58;4.64
01/06/2015;0.17;-0.09;2.87;0.21;1.05;2.33;0.04;-3.55;4.63
01/07/2015;0.15;0.06;2.74;0.17;1.23;2.31;0.07;-3.48;4.12
01/08/2015;0.21;0.27;2.59;0.2;1.43;2.3;0.24;-3.25;3.51
01/09/2015;0.37;0.65;2.52;0.37;1.81;2.38;0.39;-2.87;2.96
01/10/2015;0.51;1.16;2.48;0.25;2.06;2.47;1.35;-1.56;2.52
01/11/2015;0.55;1.72;2.21;0.04;2.1;2.34;2.15;0.56;1.84
01/12/2015;0.41;2.13;2.13;0.31;2.41;2.41;0.72;1.28;1.28
01/01/2016;0.38;0.38;2.61;0.19;0.19;2.64;0.96;0.96;2.52
01/02/2016;0.44;0.82;2.87;0.36;0.55;2.66;0.68;1.64;3.49
01/03/2016;0.15;0.97;2.6;0.36;0.91;2.76;-0.49;1.14;2.12
01/04/2016;-0.32;0.65;2.54;0.22;1.13;2.83;-1.96;-0.83;1.66
01/05/2016;-0.45;0.2;2.6;0.21;1.35;2.93;-2.51;-3.32;1.55
01/06/2016;0.11;0.31;2.54;0.25;1.61;2.97;-0.35;-3.66;1.16
01/07/2016;0.26;0.57;2.65;0.17;1.78;2.97;0.55;-3.13;1.65
01/08/2016;0.28;0.86;2.73;0.19;1.98;2.96;0.58;-2.57;1.99
01/09/2016;0.61;1.47;2.97;0.48;2.46;3.07;1.04;-1.55;2.65
01/10/2016;0.61;2.09;3.06;0.28;2.75;3.1;1.65;0.07;2.95
01/11/2016;0.78;2.89;3.31;0.22;2.98;3.29;2.54;2.61;3.34
01/12/2016;0.46;3.36;3.36;0.45;3.44;3.44;0.51;3.13;3.13
01/01/2017;1.7;1.7;4.72;0.58;0.58;3.84;5.14;5.14;7.4
